"name";"datasets";"reuses";"total"
"grand-est";437;4;441
"recherche";411;28;439
"subvention";426;10;436
"rhone-alpes";428;2;430
"ddt-54";426;0;426
"orthophoto-regionale";426;0;426
"farming";424;0;424
"2020";418;2;420
"entreprise";393;18;411
"geologie";411;0;411
"photographies-aeriennes";411;0;411
"assainissement";403;2;405
"inland-waters";405;0;405
"services";398;6;404
"cadastre";366;37;403
"cartographie";285;116;401
"commerce";366;33;399
"departement";321;72;393
"developpement-durable";377;15;392
"donnees";368;17;385
"schema-regional-eolien";384;0;384
"inventaire";380;2;382
"ocs";382;0;382
"atlas-eolien";382;0;382
"schema-regional-climat-air-energie";382;0;382
"sites-proteges";379;1;380
"loisirs";369;9;378
"vote";365;13;378
"dreal-auvergne-rhone-alpes";378;0;378
"compte-administratif";373;2;375
"sols";373;2;375
"pollution";356;18;374
"finance";370;3;373
"sante-social";368;3;371
"reseau";344;21;365
"nace";364;0;364
"ain";357;3;360
"air";355;4;359
"industrie";349;6;355
"institut-national-de-la-statistique-et-des-etudes-economiques";354;0;354
"energie";307;46;353
"saint-quentin";352;1;353
"habitat";346;4;350
"dreal";347;0;347
"parking";331;12;343
"region";294;44;338
"2018";336;2;338
"openstreetmap";276;61;337
"altitude";323;7;330
"covid19";132;194;326
"2017";308;10;318
"subventions";296;21;317
"nuisance-bruit";317;0;317
"habitats-et-biotopes";309;2;311
"recensement";243;66;309
"consommation";274;32;306
"pedologie";299;2;301
"compte";300;0;300
"repartition-de-la-population-demographie";299;0;299
"mayenne";294;1;295
"2022";290;4;294
"meteo";277;16;293
"specification-nationale";293;0;293
"littoral-aquitain";292;0;292
"utilities-communication";291;0;291
"cd-53";290;0;290
"biota";285;1;286
"covid-19";109;177;286
"gis-gr-eu";285;0;285
"grande-region";285;0;285
"hebergement";270;7;277
"trafic";273;4;277
"zonage";264;12;276
"pm10";274;0;274
"cartes";263;10;273
"emissions";269;4;273
"repartition-de-la-population";271;1;272
"2021";254;17;271
"politique-de-lenvironnement";269;0;269
"ecole";255;13;268
"structure";267;1;268
"cartes-pedologiques";268;0;268
"etudes-pedologiques";268;0;268
"types-de-sols";268;0;268
"sig";202;65;267
"temperature";259;7;266
"territoires";249;17;266
"society";266;0;266
"m71";265;0;265
"imagerie-relief-et-occupation-du-sol";264;0;264
"bruit";262;1;263
"enfance";260;3;263
"route-departementale";260;1;261
"filosofi";260;1;261
"data-gouv";255;2;257
"risque-zonages-risque-technologi";256;0;256
"budget-de-letat";254;0;254
"immigration";245;7;252
"montpellier";240;12;252
"etat-civil";228;22;250
"modelisation";248;1;249
"tri";241;5;246
"handicap";237;8;245
"public";240;2;242
"tramway";230;12;242
"emission";241;0;241
"entreprises";212;29;241
"guyane";239;1;240
"pos";239;1;240
"parc";234;5;239
"2016";236;2;238
"nature";235;2;237
"voie";237;0;237
"aquitaine";213;23;236
"cadre-de-vie";235;1;236
"production";229;6;235
"nouvelle-aquitaine";234;1;235
"gironde";230;2;232
"marches-publics";214;18;232
"no2";231;1;232
"directive-inondation";232;0;232
"plan";222;8;230
"reseau-routier";226;1;227
"geomorphologie";227;0;227
"ecologie";212;14;226
"bornes-de-recharge";221;4;225
"pays";221;3;224
"pprt";224;0;224
"enseignement-superieur";187;34;221
"2012";208;12;220
"normandie";218;2;220
"topographie";213;5;218
"dce";217;0;217
"trame-verte-et-bleue";217;0;217
"borne-de-recharge";213;4;217
"covid";69;148;217
"transport-collectif";213;3;216
"voiture";194;22;216
"association";196;19;215
"metropole";204;11;215
"lieux-de-production-et-sites-industriels";215;0;215
"inondations";213;0;213
"precipitations";212;1;213
"zone";211;2;213
"ban";202;9;211
"dreal-na";211;0;211
"associations";188;22;210
"economy";208;2;210
"mesures";209;0;209
"musique";196;11;207
"business";206;0;206
"college";197;8;205
"temps-reel";200;5;205
"arret";199;5;204
"ens";203;1;204
"horaires";199;5;204
"pays-de-la-loire";203;1;204
"decp";201;3;204
"photographie-aerienne";202;1;203
"batiment";192;10;202
"bibliotheque";194;8;202
"pme";200;2;202
"arrets";200;1;201
"metro";187;13;200
"securite";172;28;200
"train";173;25;198
"seine-saint-denis";195;3;198
"donnees-geographiques";197;0;197
"bureaux-de-vote";192;4;196
"risques-naturels";193;3;196
"coronavirus";82;114;196
"canton";188;7;195
"migrant";195;0;195
"landes-40";195;0;195
"marche";187;7;194
"musee";156;37;193
"terrain";185;8;193
"srce";193;0;193
"dreal-bfc";192;0;192
"deliberations";187;4;191
"transports-en-commun";175;15;190
"jeunesse";184;5;189
"poitou-charentes";189;0;189
"randonnee";184;5;189
"dechet";182;6;188
"exposition";186;2;188
"ign";177;11;188
"servitude";182;5;187
"etablissement";178;8;186
"eau-zonages-eau";186;0;186
"ilot-de-chaleur";185;1;186
"station-meteo";185;1;186
"ocsge";186;0;186
"mobilite-et-espace-public";185;0;185
"concentration-de-polluant";184;1;185
"ocsge2";185;0;185
"oceans";180;3;183
"etablissements";177;4;181
"reseau-de-transport";175;6;181
"2015";176;5;181
"enseignement-formation-recherche";178;3;181
"bornes-de-recharge-electrique";170;9;179
"accessibilite";166;12;178
"solidarite";175;2;177
"élections";155;22;177
"bornes-electriques";172;5;177
"departements";127;49;176
"limite";176;0;176
"referentiel";173;3;176
"limousin";176;0;176
"deces";120;55;175
"accueil";172;2;174
"elus";134;40;174
"immobilier";92;82;174
"infrastructures";169;5;174
"lignes";173;1;174
"routes";157;16;173
"eau-de-surface";169;3;172
"numerique";164;8;172
"regions";128;44;172
"infrastructure";162;8;170
"limites";165;5;170
"littoral";165;5;170
"d2m";170;0;170
"drone2map";170;0;170
"foret";157;12;169
"administratif";153;15;168
"risque-technologique";167;1;168
"perimetre";168;0;168
"pollution-atmospherique";167;1;168
"consultation";166;1;167
"reseaux";159;7;166
"resultats";160;6;166
"cci";161;4;165
"unite-administrative";165;0;165
"imagery";164;0;164
"collecte";162;1;163
"technologies";162;1;163
"culture-tourisme";161;2;163
"repartition-des-especes";162;0;162
"2013";153;8;161
"clermont-ferrand";160;1;161
"continuite-ecologique";160;0;160
"ecoles";154;6;160
"lycee";143;17;160
"voies";158;2;160
"agenda";144;15;159
"paris";96;63;159
"planification";158;1;159
"dreal-rhone-alpes";159;0;159
"services-dutilite-publique-et-services-publics";159;0;159
"borne-de-recharge-electrique";156;2;158
"cinema";125;32;157
"histoire";149;8;157
"schema-regional-de-coherence-ecologique";157;0;157
"brocas";134;22;156
"foncier";141;15;156
"chambre-de-commerce-et-d-industrie";156;0;156
"dcat";155;0;155
"inspire";154;1;155
"convention";152;2;154
"depenses";143;11;154
"enfant";151;3;154
"seine";154;0;154
"sncf-reseau";153;0;153
"ressources-humaines";149;3;152
"lycees";147;4;151
"france-metropolitaine";139;12;151
"acces";150;0;150
"faune";150;0;150
"flore";148;2;150
"geographie";121;29;150
"immigré";150;0;150
"modele-numerique-de-terrain";150;0;150
"immigre";150;0;150
"democratie-participative";149;1;150
"corridor-ecologique";150;0;150
"2014";147;2;149
"marche-public";141;8;149
"conseil-municipal";146;2;148
"eaux-souterraines";148;0;148
"imagery-base-maps-earth-cover";148;0;148
"scdl";145;3;148
"legislatives";138;9;147
"station";138;9;147
"theatre";136;11;147
"territoire-a-risque-dinondation";147;0;147
"reservoir-de-biodiversite";147;0;147
"mer";138;8;146
"alea";146;0;146
"surface-inondable";146;0;146
"deplacements-transports";144;2;146
"gestion-du-risque-dinondation";146;0;146
"extraitkbis";146;0;146
"internet";120;25;145
"auvergne-rhone-alpes";143;2;145
"loisir";141;3;144
"service";140;3;143
"aide";140;2;142
"maritime";141;1;142
"prevention";140;2;142
"restauration";139;3;142
"transport-en-commun";138;4;142
"universite";123;19;142
"cours-deau";141;1;142
"bornes-electrique";141;1;142
"commande-publique";131;10;141
"challengedata";95;46;141
"borne-electrique";134;6;140
"prescription";139;0;139
"scolaire";137;2;139
"limites-administratives";113;25;138
"zonages-planification";138;0;138
"activite";129;8;137
"art";132;5;137
"dvd";136;1;137
"espace schengen";137;0;137
"fiscalite";125;12;137
"espace-schengen";137;0;137
"innovation";123;13;136
"mediatheque";126;10;136
"parcelle";126;10;136
"agriculture-zonages-agricoles";136;0;136
"arbre";127;8;135
"osm";97;38;135
"ville";112;23;135
"conseil-departemental";135;0;135
"creation";131;3;134
"draaf-auvergne-rhone-alpes";134;0;134
"evolution";110;23;133
"police";115;18;133
"isere";129;4;133
"recharge-vehicules-electriques";129;4;133
"borne";129;3;132
"reunion";131;1;132
"ddt-isere";132;0;132
"ddt-haute-savoie";132;0;132
"ouvertes";131;1;132
"trimestrielles";131;0;131
"dataviz";25;106;131
"artois-picardie";131;0;131
"api";49;81;130
"espaces-naturels";129;1;130
"primitif";130;0;130
"mobilite-et-transports";128;2;130
"decoupage";111;18;129
"filaire";129;0;129
"ligne";127;2;129
"location";120;9;129
"quartier";125;4;129
"parcelles-cadastrales";120;8;128
"politique";95;33;128
"principaux";128;0;128
"syndicat";126;2;128
"risques-technologiques";128;0;128
"clermont-auvergne-metropole";128;0;128
"bdea";128;0;128
"bd-ea";128;0;128
"frequentation";123;4;127
"logement-social";120;7;127
"menage";126;1;127
"voiture-electrique";121;6;127
"referentiels-de-coordonnees";127;0;127
"ozone";126;0;126
"rhone";125;1;126
"estuaire";126;0;126
"caux";126;0;126
"orthophotoplans";126;0;126
"bornes";119;6;125
"vehicule-electrique";122;3;125
"metropole-golfe-de-gascogne";125;0;125
"archives";118;6;124
"bourgogne";122;2;124
"carte-communale";121;3;124
"climat";109;15;124
"communaute";123;1;124
"investissement";111;13;124
"participation";121;3;124
"zonages-nature";122;2;124
"plui";123;1;124
"bd-topo";121;3;124
"havre";124;0;124
"guadeloupe";122;1;123
"nationaux";123;0;123
"prix";90;33;123
"travaux";118;5;123
"eleves";120;2;122
"pav";119;3;122
"recettes";114;8;122
"donnees-vecteur";122;0;122
"codah";122;0;122
"havraise";122;0;122
"lagglomeration";122;0;122
"etranger";119;2;121
"europe";107;14;121
"information";114;7;121
"agglo";120;1;121
"vie-culturelle";120;1;121
"adressage";120;1;121
"martinique";119;1;120
"petite-enfance";114;6;120
"presidentielle";104;16;120
"cote-rocheuse";120;0;120
"electricite";105;14;119
"loi-de-finances";118;1;119
"maternelle";118;1;119
"ddt-ain";119;0;119
"equipement-public";117;2;119
"extrait-kbis";118;1;119
"ddt-rhone";118;0;118
"cote-sableuse";118;0;118
"metropole-manche-mer-du-nord";118;0;118
"arbres";112;5;117
"espace-public";116;1;117
"service-public";102;15;117
"loire";116;1;117
"bas-rhin";116;1;117
"cantons";101;15;116
"colleges";109;7;116
"nappe-phreatique";115;1;116
"rer";111;5;116
"departement-du-bas-rhin-67";116;0;116
"mobilites";106;10;116
"health";113;3;116
"meuse";115;1;116
"jardin";110;5;115
"naissance";97;18;115
"ppri";115;0;115
"prenoms";84;31;115
"zone-de-pollution-potentielle";115;0;115
"aide-sociale";114;0;114
"transparence";94;20;114
"cerema";111;3;114
"alimentation";73;40;113
"municipales";78;35;113
"aides";110;2;112
"directive-cadre-eau";112;0;112
"environmental-monitoring-facilities";112;0;112
"democratie";104;7;111
"institution";110;1;111
"personnes-agees";98;13;111
"entree-en-france";111;0;111
"evenement";99;11;110
"famille";104;6;110
"historique";103;7;110
"mnt";106;4;110
"qualite";106;4;110
"exposition-des-personnes-aux-polluants";110;0;110
"payant";109;0;109
"plan-de-prevention";109;0;109
"sage";109;0;109
"transition-ecologique";101;8;109
"espaces-verts";105;3;108
"landes";84;24;108
"scot";107;1;108
"unites-statistiques";108;0;108
"2011";106;1;107
"car";100;7;107
"mairie";95;12;107
"surveillance";102;5;107
"étranger";107;0;107
"citoyenneté";107;0;107
"agriculture-agri-environnement";107;0;107
"tcu";107;0;107
"urbanisme-et-logements";105;2;107
"masse-deau";107;0;107
"pmr";103;3;106
"verre";104;2;106
"bureau-de-vote";104;2;106
"mayotte";101;4;105
"paysage";101;4;105
"ddt-loire";105;0;105
"sante-et-securite-des-personnes";105;0;105
"2005";105;0;105
"donnees-descriptives";105;0;105
"donnees-qualitatives";105;0;105
"budget-regional";99;5;104
"urbanisme-logement";101;3;104
"pdf";103;1;104
"netex";103;1;104
"risque-naturel";100;3;103
"pss";103;0;103
"borne-de-rechargement-electrique";103;0;103
"i2g";103;0;103
"covoiturage";88;14;102
"monument";85;17;102
"naissances";73;29;102
"parc-naturel-regional";101;1;102
"nom";101;1;102
"musees";83;19;102
"politique-de-la-ville";98;3;101
"travail";71;30;101
"cadre-de-vie-environnement";101;0;101
"limites-communales";98;3;101
"morbihan";95;5;100
"espace-naturel-sensible";100;0;100
"bourgogne-franche-comte";99;1;100
"plhi";100;0;100
"arrondissement";98;1;99
"poi";89;10;99
"politique-agricole-commune";93;6;99
"retraite";97;2;99
"tour";99;0;99
"milieux-naturels";98;1;99
"auvergne";98;1;99
"voitures-electriques";98;1;99
"donnee-generique-intercommunalite";98;0;98
"aprona";98;0;98
"inventaire-plaine";98;0;98
"point-de-mesure";98;0;98
"fonctionnement";94;3;97
"ille-et-vilaine";93;4;97
"sphere-publique";97;0;97
"moselle";96;1;97
"education-formation-jeunesse";97;0;97
"donnees-environnementales";97;0;97
"franche-comte";96;0;96
"frontiere";96;0;96
"recyclage";89;7;96
"vaccination";43;53;96
"axe";96;0;96
"iris";77;18;95
"numero";94;1;95
"pps";95;0;95
"protection";89;6;95
"silc";92;3;95
"sup";92;3;95
"granulats-marins";95;0;95
"vehicules-electriques";93;2;95
"voi";95;0;95
"etat-du-milieu-habitats";95;0;95
"saint-lo-agglo";95;0;95
"age";82;12;94
"depense";88;6;94
"etat";86;8;94
"fibre-optique";81;13;94
"usages";92;2;94
"utility-and-governmental-services";94;0;94
"entrée en france";93;0;93
"prenom";69;24;93
"spectacle";85;8;93
"chalons-en-champagne";92;1;93
"limite-administrative";92;0;92
"sol";89;3;92
"habitat-politique-de-la-ville-po";92;0;92
"construction";88;3;91
"ouvrage";90;1;91
"logement-sante-social";91;0;91
"fiche-horaire-fluo-grand-est";91;0;91
"biologie";89;1;90
"espaces-naturels-sensibles";89;1;90
"evenements";84;6;90
"patrimoine-naturel";89;1;90
"proprete";90;0;90
"vehicule";86;4;90
"lorient-agglomeration";90;0;90
"zas";90;0;90
"bois";88;1;89
"creche";84;5;89
"eau-souterraine";88;1;89
"producteur";85;4;89
"secteur";86;3;89
"georisques";88;1;89
"flux";87;1;88
"marches";88;0;88
"tram";83;5;88
"transports-et-mobilite";86;2;88
"calvados";86;2;88
"specification-locale";88;0;88
"comptes-publics";83;5;88
"chalons-agglo";88;0;88
"boulogne-billancourt";83;5;88
"annexes-budgetaires";88;0;88
"dataviz1";88;0;88
"annuaire";69;18;87
"hopital";68;19;87
"issy-les-moulineaux";86;1;87
"logements";73;14;87
"mobilier-urbain";83;4;87
"moyen";87;0;87
"rue";78;9;87
"seniors";84;3;87
"sports";83;4;87
"donnees-de-references-referentiels-vocabulaire-controle";87;0;87
"trait-de-cote";85;2;87
"donnees-de-references-referentie";87;0;87
"dioxyde-dazote";87;0;87
"controle-de-la-qualite-de-lair";87;0;87
"pm2-5";87;0;87
"eau-potable";84;2;86
"electrique";80;6;86
"photos";80;6;86
"photovoltaique";76;10;86
"loire-atlantique";85;1;86
"sport-tourisme-loisirs";85;1;86
"adresse-postale";86;0;86
"etat-du-milieu-especes";86;0;86
"dgfip";75;10;85
"scrutin";83;2;85
"sirene";61;24;85
"bd-carthage";85;0;85
"sources-denergie";85;0;85
"economie-europe";85;0;85
"gtfs-rt";83;2;85
"metropole-mers-celtiques";85;0;85
"observatoire-economique";85;0;85
"bordeaux";77;7;84
"ordures-menageres";84;0;84
"territoires-et-regions";83;1;84
"france-entiere";75;9;84
"ressources-marines-biologiques";84;0;84
"populations-exposees";84;0;84
"apprentissage";82;1;83
"commerces";76;7;83
"liste-de-jeux-de-donnees";82;1;83
"meudon";83;0;83
"smica";83;0;83
"csv";74;8;82
"equipement-sportif";41;41;82
"strasbourg";72;10;82
"datavisualisation";13;69;82
"aleas";82;0;82
"nord-pas-de-calais";81;1;82
"cac";81;1;82
"donnees-ouvertes-1";82;0;82
"2009";81;0;81
"bati";81;0;81
"insertion";76;5;81
"voyages";81;0;81
"natura-2000";79;2;81
"saint-denis";80;1;81
"zone-propice";81;0;81
"ans";80;0;80
"elevation";77;3;80
"parcours";78;2;80
"raster";80;0;80
"referentiels";80;0;80
"vosges";79;1;80
"sevres";80;0;80
"agriculture-et-territoire";80;0;80
"2023";80;0;80
"ayant";79;0;79
"csp";78;1;79
"elu";78;1;79
"eolien";75;4;79
"fontaine";78;1;79
"pnr";78;1;79
"chargeguru";79;0;79
"arts";74;4;78
"gare-de-voyageurs";70;8;78
"habitant";69;9;78
"local";75;3;78
"papier";78;0;78
"point";78;0;78
"mouvement-de-terrain";78;0;78
"specification-regionale";78;0;78
"dechetterie";75;3;78
"vrap";78;0;78
"2010";77;0;77
"aep";77;0;77
"conditions";74;3;77
"equipements-sportifs";73;4;77
"etudes";69;8;77
"etudiants";67;10;77
"livre";71;6;77
"parcs";75;2;77
"piscine";76;1;77
"zae";77;0;77
"barometre";74;3;77
"enjeux";77;0;77
"ortho-image-aerienne";77;0;77
"titre-de-sejour";77;0;77
"aube";76;1;77
"rapport-financier";77;0;77
"donnees-essentielles";76;1;77
"cereales";75;1;76
"effectif";69;7;76
"erosion";76;0;76
"frontière";76;0;76
"mesure";76;0;76
"orthophotoplan";75;1;76
"foncier-sol-occupation-du-sol";75;1;76
"admission-au-sejour";76;0;76
"meurthe-et-moselle";75;1;76
"administration-generale";74;1;75
"admission au séjour";75;0;75
"candidats";66;9;75
"cimetiere";74;1;75
"elementaire";74;1;75
"ile-de-france";54;21;75
"riviere";69;6;75
"systemes-de-maillage-geographique";75;0;75
"mission-sig";75;0;75
"departementales";70;5;75
"immigration-familiale";75;0;75
"siret";61;14;75
"citoyennete-et-administration";75;0;75
"administration-et-finances-publiques";75;0;75
"marne";74;1;75
"impact-sur-lenvironnement";73;2;75
"nouvelle-aquitaine-2";75;0;75
"cfa";74;0;74
"collectivites-locales";67;7;74
"conservatoire";70;4;74
"developpement";71;3;74
"itineraire";70;4;74
"maison";61;13;74
"manche";72;2;74
"morts";10;64;74
"places";73;1;74
"carte-de-sejour";74;0;74
"risque-n-inondation";74;0;74
"haute-marne";73;1;74
"chaville";74;0;74
"etudiant";66;7;73
"gratuit";66;7;73
"horodateur";73;0;73
"piste-cyclable";69;4;73
"recette";69;4;73
"milieu-biologique-habitats";73;0;73
"equipements-publics";73;0;73
"vehicules-electrique";72;1;73
"ville-davray";73;0;73
"adresse-locale";72;1;73
"architecture";66;6;72
"conseil";69;3;72
"etude";66;6;72
"horaire";64;8;72
"indicateur";70;2;72
"meteorologie";62;10;72
"rsa";69;3;72
"amenagement-urbanisme";69;3;72
"ddtm-44";72;0;72
"corse";68;4;72
"multi-risque";72;0;72
"bio";65;7;72
"ardennes";71;1;72
"directive-2000-60-ec";72;0;72
"chalons";72;0;72
"soldats";12;60;72
"rapportage";72;0;72
"hydrochemistry";72;0;72
"camping";60;11;71
"immigration-irreguliere";71;0;71
"universites";65;6;71
"decoupage-administratif";69;2;71
"qualite-de-lenvironnement";71;0;71
"programme-europeen";71;0;71
"bilan";69;1;70
"programmes";70;0;70
"routier";69;1;70
"stations";66;4;70
"vie-associative";67;3;70
"velos";66;4;70
"natural-risk-zones";70;0;70
"referentiels-geographiques";70;0;70
"participation-citoyenne";70;0;70
"sno-karst";70;0;70
"bibliotheques";62;7;69
"effectifs";68;1;69
"filiere";69;0;69
"gare";66;3;69
"gaz";59;10;69
"gps";64;5;69
"poubelle";69;0;69
"presidentielles";57;12;69
"primaire";68;1;69
"promenade";68;1;69
"regionales";66;3;69
"routes-departementales";59;10;69
"vls";69;0;69
"vanves";69;0;69
"plan-local-urbanisme";69;0;69
"haut-rhin";68;1;69
"comptes-consolides";69;0;69
"loi-de-finances-initiale";69;0;69
"donnees-derivees-indicateurs";69;0;69
"cinéma";53;15;68
"jardins";62;6;68
"statistique";54;14;68
"postale";67;1;68
"politique-regionale";68;0;68
"immigration-clandestine";68;0;68
"station-de-charge";67;1;68
"siren";58;10;68
"animation";63;4;67
"atlas";62;5;67
"camping-car";66;1;67
"circonscription";63;4;67
"denominations-geographiques";67;0;67
"livres";60;7;67
"produit";59;8;67
"visiteur";67;0;67
"ftth";59;8;67
"audeg";67;0;67
"glissement-de-terrain";67;0;67
"canal";66;0;66
"onf";62;4;66
"proximite";58;8;66
"resultat";63;3;66
"ter";58;8;66
"nuisance";66;0;66
"parcellaire-agricole";66;0;66
"tarn";65;1;66
"eau-superficielle";66;0;66
"assemblee-nationale";47;18;65
"collectivites";50;15;65
"data";30;35;65
"formations";59;6;65
"formations-sanitaires-et-sociales";65;0;65
"quartiers";62;3;65
"recharge";62;3;65
"tic";64;1;65
"visualisation";2;63;65
"zonages-amenagement";64;1;65
"premiere-guerre-mondiale";2;63;65
"o3";65;0;65
"particules-en-suspension";65;0;65
"government";65;0;65
"dvf";14;51;65
"adresses-locales";65;0;65
"ca";64;0;64
"diplome";62;2;64
"justice";48;16;64
"photographie";60;4;64
"presse";55;9;64
"élection";57;7;64
"enr";60;4;64
"arcgis";61;3;64
"morts-pour-la-france";2;62;64
"traces-de-soldats";2;62;64
"citizenship";64;0;64
"public-finances";64;0;64
"directive-cadre-sur-l-eau-dce";64;0;64
"accident";43;20;63
"cantine";61;2;63
"comptage";62;1;63
"comptes";58;5;63
"label";62;1;63
"opera";56;7;63
"panneau";63;0;63
"inventaire-nature-biodiversite";63;0;63
"fibre";52;11;63
"atc";63;0;63
"14-18";4;59;63
"mds";63;0;63
"chiffres-cles-de-limmigration";63;0;63
"autobus";59;3;62
"base";59;3;62
"bureau";60;2;62
"carrefour";62;0;62
"contours";40;22;62
"elections-legislatives";50;12;62
"erp";58;4;62
"financement";61;1;62
"immigration familiale";62;0;62
"port";59;3;62
"secours";58;4;62
"services-de-l-etat";61;1;62
"solaire";50;12;62
"tarif";61;1;62
"reseau-ferre";61;1;62
"transport-mobilite";52;10;62
"secteur-dactivite";61;1;62
"memoire-des-hommes";2;60;62
"covid19france";8;54;62
"autocar";57;4;61
"autorisation de séjour";61;0;61
"autorisation provisoire de séjour";61;0;61
"carte de séjour";61;0;61
"du";61;0;61
"eee";61;0;61
"indice";58;3;61
"ligne-reguliere";60;1;61
"migration professionnelle";61;0;61
"migration économique";61;0;61
"point-d-arret";61;0;61
"prive";59;2;61
"regroupement familial";61;0;61
"rues";59;2;61
"textile";61;0;61
"titre de séjour";61;0;61
"autorisation-de-sejour";61;0;61
"autorisation-provisoire-de-sejour";61;0;61
"comptes-sociaux";60;1;61
"migration-economique";61;0;61
"migration-professionnelle";61;0;61
"qualite-de-lair";60;1;61
"regroupement-familial";61;0;61
"moissonnage";61;0;61
"alerte";59;2;61
"autorisation-provisoire-de-sejou";61;0;61
"recharge-voiture-electrique-fran";61;0;61
"reseaux-assainissements-eaux-pluviales-eaux-usees-transport-collecte";61;0;61
"reseaux-deau";61;0;61
"activites";55;5;60
"affaires";59;1;60
"affichage";59;1;60
"decheterie";55;5;60
"deputes";50;10;60
"zones-de-gestion-de-restriction-ou-de-reglementation-et-unites-de-declaration";58;2;60
"assiette-servitude";60;0;60
"ardeche";58;2;60
"icpe";59;1;60
"comptages-routiers";60;0;60
"gpu";60;0;60
"eaux-interieures";60;0;60
"datasprint";0;60;60
"inclusion-numerique";57;3;60
"agregats";59;0;59
"balade";55;4;59
"catalogue";59;0;59
"decisions";58;1;59
"hotel";53;6;59
"parlement";49;10;59
"submersion";58;1;59
"residentiel";59;0;59
"habitats-and-biotopes";59;0;59
"preservation-terre-et-eau";59;0;59
"pacinno";59;0;59
"caf";55;3;58
"comptabilite-publique";58;0;58
"logements-sociaux";54;4;58
"mariage";53;5;58
"orthophoto";57;1;58
"reference";56;2;58
"eaux-interieures-de-surface-rivieres-et-lacs";58;0;58
"eaux-usees";57;1;58
"agriculture-biologique";52;6;58
"saint";58;0;58
"adresses-postales";58;0;58
"eaux-interieures-de-surface-rivi";58;0;58
"budget-finances";58;0;58
"chomage";48;9;57
"crowdsourcing";16;41;57
"formation-professionnelle";48;9;57
"immigration clandestine";57;0;57
"immigration irrégulière";57;0;57
"immigration-illegale";57;0;57
"liste";55;2;57
"particules";56;1;57
"place";57;0;57
"sexe";53;4;57
"site";53;4;57
"idg";56;1;57
"ouvert";57;0;57
"signataires";57;0;57
"plateforme-publique-de-l-information-geographique-ppige-nord-pas-de-calais";57;0;57
